Name: CHE BiogasResource,,,,,,,,,
Date: 2021-08-06 16:59:30.621975,,,,,,,,,
Author: Marc Jaxa-Rozen,,,,,,,,,
,,,,,,,,,
Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,BiogasResource,Fuel_cost_fuel,1990,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,1991,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,1992,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,1993,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,1994,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,1995,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,1996,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,1997,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,1998,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,1999,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2000,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2001,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2002,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2003,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2004,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2005,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2006,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2007,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2008,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2009,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2010,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2011,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2012,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2013,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2014,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2015,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2016,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2017,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2018,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,Fuel_cost_fuel,2019,,6.81,EUR2010/GJ,JRC ENSPRESO database,,
CHE,BiogasResource,CO2_generation,1990,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,1991,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,1992,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,1993,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,1994,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,1995,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,1996,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,1997,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,1998,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,1999,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2000,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2001,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2002,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2003,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2004,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2005,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2006,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2007,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2008,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2009,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2010,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2011,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2012,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2013,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2014,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2015,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2016,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2017,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2018,,0,tonne/GWh,Assumption,,
CHE,BiogasResource,CO2_generation,2019,,0,tonne/GWh,Assumption,,