Name: CHE BiomassResource,,,,,,,,,
Date: 2021-08-06 16:59:30.601476,,,,,,,,,
Author: Marc Jaxa-Rozen,,,,,,,,,
,,,,,,,,,
Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,BiomassResource,Fuel_cost_fuel,1990,,18.96,CHF2006/GJ,Assumption,,
CHE,BiomassResource,Fuel_cost_fuel,1991,,18.96,CHF2006/GJ,Assumption,,
CHE,BiomassResource,Fuel_cost_fuel,1992,,18.96,CHF2006/GJ,Assumption,,
CHE,BiomassResource,Fuel_cost_fuel,1993,,18.96,CHF2006/GJ,Assumption,,
CHE,BiomassResource,Fuel_cost_fuel,1994,,18.96,CHF2006/GJ,Assumption,,
CHE,BiomassResource,Fuel_cost_fuel,1995,,18.96,CHF2006/GJ,Assumption,,
CHE,BiomassResource,Fuel_cost_fuel,1996,,18.96,CHF2006/GJ,Assumption,,
CHE,BiomassResource,Fuel_cost_fuel,1997,,18.96,CHF2006/GJ,Assumption,,
CHE,BiomassResource,Fuel_cost_fuel,1998,,18.96,CHF2006/GJ,Assumption,,
CHE,BiomassResource,Fuel_cost_fuel,1999,,18.96,CHF2006/GJ,Assumption,,
CHE,BiomassResource,Fuel_cost_fuel,2000,,18.96,CHF2006/GJ,Assumption,,
CHE,BiomassResource,Fuel_cost_fuel,2001,,18.96,CHF2006/GJ,Assumption,,
CHE,BiomassResource,Fuel_cost_fuel,2002,,18.96,CHF2006/GJ,Assumption,,
CHE,BiomassResource,Fuel_cost_fuel,2003,,18.96,CHF2006/GJ,Assumption,,
CHE,BiomassResource,Fuel_cost_fuel,2004,,18.96,CHF2006/GJ,Assumption,,
CHE,BiomassResource,Fuel_cost_fuel,2005,,18.96,CHF2006/GJ,Assumption,,
CHE,BiomassResource,Fuel_cost_fuel,2006,,18.96,CHF2006/GJ,"Office federal de la statistique, Prix moyens de l'energie",,"Price for pellets, assuming 0.018 TJ/ton (Schweizerische Holzenergiestatistik, 2020)"
CHE,BiomassResource,Fuel_cost_fuel,2007,,21.44,CHF2007/GJ,"Office federal de la statistique, Prix moyens de l'energie",,"Price for pellets, assuming 0.018 TJ/ton (Schweizerische Holzenergiestatistik, 2020)"
CHE,BiomassResource,Fuel_cost_fuel,2008,,20.19,CHF2008/GJ,"Office federal de la statistique, Prix moyens de l'energie",,"Price for pellets, assuming 0.018 TJ/ton (Schweizerische Holzenergiestatistik, 2020)"
CHE,BiomassResource,Fuel_cost_fuel,2009,,21.38,CHF2009/GJ,"Office federal de la statistique, Prix moyens de l'energie",,"Price for pellets, assuming 0.018 TJ/ton (Schweizerische Holzenergiestatistik, 2020)"
CHE,BiomassResource,Fuel_cost_fuel,2010,,22.02,CHF2010/GJ,"Office federal de la statistique, Prix moyens de l'energie",,"Price for pellets, assuming 0.018 TJ/ton (Schweizerische Holzenergiestatistik, 2020)"
CHE,BiomassResource,Fuel_cost_fuel,2011,,21.71,CHF2011/GJ,"Office federal de la statistique, Prix moyens de l'energie",,"Price for pellets, assuming 0.018 TJ/ton (Schweizerische Holzenergiestatistik, 2020)"
CHE,BiomassResource,Fuel_cost_fuel,2012,,20.59,CHF2012/GJ,"Office federal de la statistique, Prix moyens de l'energie",,"Price for pellets, assuming 0.018 TJ/ton (Schweizerische Holzenergiestatistik, 2020)"
CHE,BiomassResource,Fuel_cost_fuel,2013,,22.10,CHF2013/GJ,"Office federal de la statistique, Prix moyens de l'energie",,"Price for pellets, assuming 0.018 TJ/ton (Schweizerische Holzenergiestatistik, 2020)"
CHE,BiomassResource,Fuel_cost_fuel,2014,,22.43,CHF2014/GJ,"Office federal de la statistique, Prix moyens de l'energie",,"Price for pellets, assuming 0.018 TJ/ton (Schweizerische Holzenergiestatistik, 2020)"
CHE,BiomassResource,Fuel_cost_fuel,2015,,21.17,CHF2015/GJ,"Office federal de la statistique, Prix moyens de l'energie",,"Price for pellets, assuming 0.018 TJ/ton (Schweizerische Holzenergiestatistik, 2020)"
CHE,BiomassResource,Fuel_cost_fuel,2016,,20.18,CHF2016/GJ,"Office federal de la statistique, Prix moyens de l'energie",,"Price for pellets, assuming 0.018 TJ/ton (Schweizerische Holzenergiestatistik, 2020)"
CHE,BiomassResource,Fuel_cost_fuel,2017,,19.97,CHF2017/GJ,"Office federal de la statistique, Prix moyens de l'energie",,"Price for pellets, assuming 0.018 TJ/ton (Schweizerische Holzenergiestatistik, 2020)"
CHE,BiomassResource,Fuel_cost_fuel,2018,,19.99,CHF2018/GJ,"Office federal de la statistique, Prix moyens de l'energie",,"Price for pellets, assuming 0.018 TJ/ton (Schweizerische Holzenergiestatistik, 2020)"
CHE,BiomassResource,Fuel_cost_fuel,2019,,19.78,CHF2019/GJ,"Office federal de la statistique, Prix moyens de l'energie",,"Price for pellets, assuming 0.018 TJ/ton (Schweizerische Holzenergiestatistik, 2020)"
CHE,BiomassResource,CO2_generation,1990,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,1991,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,1992,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,1993,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,1994,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,1995,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,1996,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,1997,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,1998,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,1999,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2000,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2001,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2002,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2003,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2004,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2005,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2006,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2007,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2008,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2009,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2010,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2011,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2012,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2013,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2014,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2015,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2016,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2017,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2018,,0,tonne/GWh,Assumption,,
CHE,BiomassResource,CO2_generation,2019,,0,tonne/GWh,Assumption,,