Name: CHE OnshoreWindResource,,,,,,,,,
Date: 2021-08-06 16:53:26.950701,,,,,,,,,
Author: Marc Jaxa-Rozen,,,,,,,,,
,,,,,,,,,
Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,OnshoreWindResource,Fuel_cost_fuel,1990,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,1991,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,1992,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,1993,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,1994,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,1995,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,1996,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,1997,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,1998,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,1999,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2000,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2001,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2002,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2003,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2004,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2005,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2006,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2007,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2008,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2009,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2010,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2011,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2012,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2013,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2014,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2015,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2016,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2017,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2018,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,Fuel_cost_fuel,2019,,0,EUR2019/kWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,1990,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,1991,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,1992,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,1993,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,1994,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,1995,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,1996,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,1997,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,1998,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,1999,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2000,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2001,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2002,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2003,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2004,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2005,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2006,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2007,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2008,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2009,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2010,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2011,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2012,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2013,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2014,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2015,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2016,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2017,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2018,,0,tonne CO2eq/GWh,Assumption,,
CHE,OnshoreWindResource,CO2_generation,2019,,0,tonne CO2eq/GWh,Assumption,,