Date,Month,Year,SensedHourlyLoadData_1,SensedHourlyLoadData_2,SensedHourlyLoadData_3,SensedHourlyLoadData_4,SensedHourlyLoadData_5,SensedHourlyLoadData_6,SensedHourlyLoadData_7,SensedHourlyLoadData_8,SensedHourlyLoadData_9,SensedHourlyLoadData_10,SensedHourlyLoadData_11,SensedHourlyLoadData_12,SensedHourlyLoadData_13,SensedHourlyLoadData_14,SensedHourlyLoadData_15,SensedHourlyLoadData_16,SensedHourlyLoadData_17,SensedHourlyLoadData_18,SensedHourlyLoadData_19,SensedHourlyLoadData_20,SensedHourlyLoadData_21,SensedHourlyLoadData_22,SensedHourlyLoadData_23,SensedHourlyLoadData_24
1,1,2015,12161,11901,11459,10992,10706,10687,10829,11143,11415,11782,12352,12848,12989,13050,13112,13086,13548,14753,14828,14652,14273,13703,13020,12220
2,1,2015,11546,11037,10726,10621,10681,11031,11895,13072,14269,15187,15646,15696,15499,15363,15309,15279,15609,16977,16607,16121,15442,14554,13724,12972
3,1,2015,12131,11541,11119,10902,10842,11059,11491,12246,13321,14368,15064,15364,15413,15248,15161,15132,15547,16297,15981,15492,14838,14095,13385,12638
4,1,2015,11947,11379,10998,10826,10767,10844,11036,11509,12142,12768,13345,13649,13808,13670,13551,13593,14044,15612,15698,15457,14889,14146,13406,12480
5,1,2015,11783,11322,11096,11047,11172,11630,13120,15420,17038,17428,17533,17711,17667,17757,17657,17621,18022,18603,17842,17240,16448,15501,14402,13302
6,1,2015,12385,11829,11556,11457,11543,11995,13348,15791,17278,17629,17635,17514,17285,17321,17367,17426,17799,18643,17819,17305,16427,15456,14348,13298
7,1,2015,12442,11871,11599,11510,11567,12032,13422,15737,17233,17496,17477,17323,16998,17103,17166,17188,17584,18522,17691,17200,16393,15488,14336,13429
8,1,2015,12561,11948,11620,11500,11514,11979,13311,15629,17174,17612,17714,17926,17932,18014,17817,17889,18068,18555,17948,17417,16614,15520,14398,13448
9,1,2015,12558,11978,11640,11485,11535,11978,13365,15609,17199,17734,17858,17864,17647,17611,17382,17363,17644,18139,17473,16781,15900,14938,14002,13257
10,1,2015,12491,11759,11339,11096,11012,11086,11571,12505,13730,14689,15262,15440,15431,15339,15224,15037,15150,16232,15946,15413,14724,13964,13307,12636
11,1,2015,11986,11391,10990,10766,10715,10776,11017,11566,12319,13061,13763,14033,14251,14204,14159,14110,14497,15730,15660,15370,14766,13988,13287,12381
12,1,2015,11701,11252,10913,10923,11074,11625,13110,15484,17027,17532,17691,17811,17661,17702,17529,17423,17701,18442,17668,17112,16319,15324,14237,13226
13,1,2015,12390,11797,11438,11422,11515,11958,13424,15691,17161,17608,17700,17814,17709,17800,17739,17542,17719,18512,17824,17289,16461,15517,14368,13388
14,1,2015,12494,11937,11705,11598,11676,12114,13552,15919,17502,17907,17982,17994,17898,17792,17569,17394,17481,18486,17915,17398,16550,15578,14445,13447
15,1,2015,12530,11927,11623,11525,11583,12072,13487,15739,17164,17660,17778,17935,17741,17682,17592,17627,17817,18436,17848,17366,16505,15452,14419,13490
16,1,2015,12561,12000,11660,11544,11598,12032,13353,15672,17141,17491,17553,17492,17252,17088,16830,16741,16914,17891,17448,16811,16001,15064,14077,13270
17,1,2015,12448,11837,11432,11257,11262,11426,11958,12897,13926,14807,15200,15124,14885,14591,14471,14552,14881,16052,16047,15558,14892,14102,13456,12741
18,1,2015,12065,11486,11092,10898,10835,10884,11247,11744,12512,13242,13886,14408,14700,14632,14525,14464,14650,15872,15967,15602,15014,14199,13439,12478
19,1,2015,11811,11463,11249,11194,11349,11886,13291,15614,17017,17405,17559,17708,17559,17683,17611,17485,17617,18427,17918,17416,16546,15564,14444,13461
20,1,2015,12535,12082,11769,11666,11705,12117,13525,15798,17251,17699,17804,17838,17564,17522,17434,17362,17579,18418,17940,17421,16636,15661,14495,13387
21,1,2015,12596,12069,11771,11678,11730,12089,13548,15971,17409,17778,17898,17894,17682,17660,17583,17438,17621,18522,18043,17539,16660,15643,14574,13609
22,1,2015,12763,12166,11866,11783,11860,12278,13680,16045,17501,17960,18124,18140,17894,17946,17789,17712,17754,18453,18046,17561,16739,15602,14487,13609
23,1,2015,12738,12257,11930,11844,11906,12366,13724,15984,17458,17997,18080,18026,17864,17866,17798,17620,17628,18335,17891,17255,16386,15374,14366,13593
24,1,2015,12831,12191,11778,11611,11504,11658,12135,12981,14113,15125,15570,15506,15268,14932,14679,14604,14818,15883,16181,15673,15026,14232,13521,12790
25,1,2015,12066,11465,11136,11016,10932,11026,11320,11787,12435,13270,13874,14305,14501,14384,14173,14109,14327,15506,15798,15448,14880,14120,13369,12421
26,1,2015,11729,11331,11094,11035,11158,11747,13211,15584,17141,17623,17625,17765,17743,17769,17507,17313,17465,18127,17763,17178,16358,15401,14222,13200
27,1,2015,12441,11898,11623,11547,11581,12062,13498,15905,17072,17400,17430,17399,17108,17142,17152,17125,17174,17921,17712,17177,16387,15361,14188,13235
28,1,2015,12342,11780,11474,11374,11431,11877,13359,15702,17192,17645,17786,17878,17831,18027,18146,18079,18201,18532,18002,17374,16539,15553,14465,13426
29,1,2015,12529,11887,11526,11437,11483,12029,13452,15886,17184,17688,17802,17817,17607,17580,17545,17549,17737,18344,18028,17549,16782,15722,14624,13684
30,1,2015,12852,12317,11936,11805,11839,12240,13588,15785,17150,17694,17745,17621,17271,17254,17172,17107,17202,17850,17606,17024,16168,15165,14253,13537
31,1,2015,12695,11992,11596,11361,11316,11420,11899,12871,13886,14905,15290,15229,15040,14803,14777,14677,14916,15750,16142,15650,14974,14188,13560,12793
1,2,2015,12066,11539,11166,10997,10919,10948,11196,11651,12385,13088,13729,14068,14195,14138,14060,13872,14026,15113,15787,15469,14884,14083,13384,12418
2,2,2015,11795,11418,11263,11220,11297,11836,13325,15671,16915,17407,17587,17634,17349,17315,17147,17154,17260,17824,17829,17369,16561,15540,14409,13319
3,2,2015,12480,11968,11728,11662,11619,12100,13472,15836,17099,17538,17474,17265,16919,16910,16777,16850,17109,17678,17785,17332,16508,15544,14433,13360
4,2,2015,12511,12064,11768,11667,11750,12185,13551,15940,17172,17604,17562,17376,17149,17091,17106,17138,17280,17764,17920,17438,16630,15662,14576,13589
5,2,2015,12704,12241,11955,11841,11881,12207,13595,15961,17125,17609,17801,17730,17367,17315,17332,17361,17394,17820,18129,17696,16871,15742,14559,13627
6,2,2015,12761,12217,11846,11777,11839,12250,13646,15930,17123,17658,17571,17368,16980,16844,16722,16665,16774,17197,17647,17094,16220,15178,14224,13395
7,2,2015,12609,11993,11622,11391,11315,11451,12009,12973,13934,14977,15455,15496,15347,15086,14953,14787,14906,15594,16019,15492,14861,14039,13390,12688
8,2,2015,12032,11471,11112,10904,10810,10837,11170,11703,12273,13179,13663,13874,13971,13808,13589,13487,13652,14566,15608,15381,14860,14149,13372,12462
9,2,2015,11761,11331,11128,11037,11116,11577,13046,15481,16724,17295,17519,17585,17434,17523,17391,17261,17332,17660,17660,17226,16378,15384,14281,13202
10,2,2015,12325,11840,11540,11424,11478,11920,13436,15729,16841,17370,17394,17479,17352,17447,17390,17357,17406,17727,17629,17160,16299,15300,14191,13151
11,2,2015,12377,11854,11564,11519,11538,11880,13224,15623,16935,17530,17659,17681,17485,17478,17386,17247,17239,17582,17623,17108,16301,15334,14212,13245
12,2,2015,12418,11879,11627,11533,11599,12020,13337,15710,16926,17450,17567,17599,17351,17352,17251,17159,17132,17397,17684,17288,16494,15386,14294,13279
13,2,2015,12409,11866,11592,11508,11546,11979,13321,15577,16720,17265,17168,16860,16358,16161,15966,15906,16110,16502,16962,16520,15762,14708,13715,12917
14,2,2015,12128,11568,11196,11046,11004,11091,11569,12485,13371,14392,14728,14777,14614,14385,14041,13911,14000,14439,15210,14937,14329,13592,12968,12261
15,2,2015,11603,11122,10778,10657,10600,10658,10952,11447,11986,12687,13035,13153,13177,12921,12630,12620,12988,13885,14970,14928,14515,13803,13065,12157
16,2,2015,11498,11202,11050,11012,11104,11601,12947,15023,16120,16559,16452,16286,15983,15871,15751,15737,16036,16434,16913,16631,15841,14932,13877,12881
17,2,2015,12095,11624,11350,11242,11303,11662,12957,15109,16227,16851,16972,16968,16527,16371,16193,16037,16179,16445,16939,16793,16024,15089,14078,13087
18,2,2015,12237,11783,11568,11428,11517,11921,13242,15365,16537,17001,16878,16720,16493,16439,16308,16281,16458,16827,17211,17050,16251,15331,14143,13207
19,2,2015,12347,11781,11508,11398,11490,11905,13397,15492,16611,17026,16851,16653,16319,16352,16334,16416,16627,16851,17315,17159,16404,15336,14204,13221
20,2,2015,12357,11783,11508,11402,11480,11908,13228,15368,16687,17441,17682,17728,17412,17321,17194,17017,17017,17243,17294,16801,16016,14931,14001,13155
21,2,2015,12320,11748,11381,11238,11209,11266,11703,12572,13530,14618,15013,15096,15006,14764,14451,14208,14397,14887,15487,15332,14667,13909,13284,12455
22,2,2015,11839,11368,11049,10875,10848,10892,11187,11541,12102,12713,12951,13079,13246,13082,12882,12844,13239,14075,15024,15051,14523,13840,13219,12318
23,2,2015,11703,11369,11200,11155,11257,11672,13048,15095,16482,17056,16958,16710,16418,16361,16176,16220,16551,16703,16977,16952,16134,15130,14025,13043
24,2,2015,12199,11700,11402,11337,11461,11903,13295,15238,16524,17123,17066,16998,16780,16579,16352,16192,16374,16671,16947,16830,16138,15175,14043,13005
25,2,2015,12182,11597,11345,11289,11371,11729,13087,14939,16164,16630,16662,16667,16702,16891,16899,16813,16766,16850,16846,16706,15905,15004,13930,13006
26,2,2015,12162,11672,11405,11325,11369,11776,13077,15004,16277,16901,17020,17014,16838,16878,16878,16786,16833,17002,17151,16925,16271,15296,14189,13288
27,2,2015,12435,11890,11542,11416,11471,11837,13106,14880,16106,16653,16599,16481,16187,16012,15845,15653,15749,16042,16352,16414,15718,14758,13810,13002
28,2,2015,12196,11655,11325,11159,11126,11227,11736,12485,13433,14417,14656,14473,14118,13709,13421,13393,13779,14329,15014,15047,14436,13640,13006,12251
1,3,2015,11451,10984,10679,10538,10509,10537,10775,11062,11756,12436,12646,12818,12947,12819,12590,12568,12792,13490,14460,14749,14268,13540,12803,11970
2,3,2015,11326,10977,10830,10842,10956,11424,12885,14763,15867,16198,16074,16150,15950,16178,16265,16252,16288,16501,16618,16810,16040,15046,13850,12764
3,3,2015,11865,11322,11082,10994,11100,11541,12996,14959,16080,16701,16945,17120,16910,16856,16626,16428,16464,16492,16528,16888,16139,15102,13981,12900
4,3,2015,12000,11468,11239,11139,11224,11616,13019,14991,16128,16628,16727,16713,16570,16584,16480,16374,16423,16720,16707,16842,16053,15072,13923,12875
5,3,2015,11941,11414,11188,11126,11200,11688,13087,14994,16070,16391,16249,16231,15979,15921,15814,15838,16010,16232,16390,16846,16118,15020,13842,12827
6,3,2015,11944,11395,11144,11024,11085,11484,12911,14870,16189,16776,16859,16774,16426,16425,16240,16018,15961,16080,16084,16264,15590,14546,13570,12776
7,3,2015,11939,11399,11085,10916,10856,10928,11451,12151,13186,14041,14177,13929,13630,13285,13032,12880,13142,13701,14234,14744,14176,13413,12801,12030
8,3,2015,11378,10856,10558,10403,10357,10386,10639,10889,11567,11967,12102,12102,12122,11908,11666,11637,12065,12979,13810,14510,14057,13303,12626,11681
9,3,2015,10984,10597,10583,10584,10726,11180,12547,14437,15714,16179,16263,16300,16068,16013,15806,15674,15792,15990,16033,16466,15750,14767,13612,12593
10,3,2015,11736,11211,11002,10961,11024,11414,12801,14679,15751,15798,15680,15652,15409,15438,15364,15327,15508,15789,15751,16434,15810,14863,13748,12722
11,3,2015,11812,11326,11154,11125,11226,11657,12956,14681,15944,16266,16168,16042,15626,15513,15368,15262,15417,15822,15799,16489,15818,14904,13848,12865
12,3,2015,11941,11414,11185,11105,11197,11639,12967,14616,15685,15888,15702,15571,15309,15277,15177,15147,15318,15657,15785,16506,15933,14886,13667,12686
13,3,2015,11837,11276,11080,11035,11125,11570,12830,14536,15574,15844,15730,15661,15469,15479,15321,15140,15177,15560,15565,16104,15434,14375,13421,12587
14,3,2015,11759,11178,10912,10782,10762,10901,11309,12043,13096,14052,14380,14486,14400,14188,14001,13870,14044,14480,14711,14833,14253,13427,12768,11962
15,3,2015,11209,10671,10417,10306,10209,10282,10573,10897,11698,12504,12923,13263,13404,13226,13001,12893,13063,13786,14303,14644,14178,13445,12695,11716
16,3,2015,10982,10583,10506,10529,10681,11233,12604,14463,15636,15861,15724,15670,15434,15405,15361,15327,15490,15726,15582,16326,15680,14752,13596,12579
17,3,2015,11657,11107,10944,10933,10997,11475,12798,14557,15632,15892,15686,15542,15265,15269,15191,15127,15231,15482,15311,16179,15661,14729,13576,12583
18,3,2015,11698,11136,10928,10913,10980,11418,12681,14516,15698,16153,16119,16070,15830,15885,15875,15848,15973,16142,15887,16310,15688,14756,13599,12635
19,3,2015,11747,11102,10885,10880,10929,11389,12716,14618,15837,16336,16344,16221,15914,15877,15682,15501,15502,15662,15469,16184,15718,14644,13544,12662
20,3,2015,11705,11115,10877,10875,10928,11351,12601,14429,15809,16407,16717,16729,16181,15872,15657,15394,15414,15646,15373,15806,15198,14238,13241,12401
21,3,2015,11611,11000,10704,10541,10482,10559,10950,11728,12755,13717,14092,14089,13873,13512,13236,13133,13422,13990,14239,14578,14065,13286,12598,11846
22,3,2015,11132,10593,10282,10128,10058,10152,10270,10625,11420,12110,12429,12469,12365,12075,11742,11599,11803,12735,13296,14262,14084,13352,12601,11699
23,3,2015,11019,10592,10463,10445,10590,11160,12386,14166,15384,15837,15838,15836,15477,15513,15382,15272,15359,15586,15217,16057,15676,14686,13458,12470
24,3,2015,11595,11034,10832,10823,10911,11363,12520,14329,15508,15924,15753,15634,15462,15582,15669,15636,15792,15928,15570,16143,15606,14654,13455,12509
25,3,2015,11631,11056,10877,10842,10919,11386,12579,14571,15953,16566,16669,16712,16570,16582,16483,16312,16264,16351,15898,16161,15713,14759,13573,12589
26,3,2015,11669,11099,10881,10872,10966,11450,12561,14298,15509,15933,16062,16285,16159,16411,16451,16346,16446,16637,16300,16574,15944,14817,13591,12583
27,3,2015,11682,11079,10848,10808,10863,11315,12452,14170,15537,15401,14423,15254,15473,15456,15368,15144,15077,15226,14905,15368,15034,14118,13122,12283
28,3,2015,11480,10825,10582,10440,10408,10540,10815,11535,12489,13385,13824,14026,14062,13945,13840,13663,13663,14120,14166,14385,13920,13158,12495,11720
29,3,2015,10912,10323,10323,10031,9978,9959,10103,10334,10953,11752,12440,13002,13344,13402,13199,13214,13307,13720,13879,13771,14092,13587,12830,11827
30,3,2015,10975,10494,10290,10267,10402,10916,12359,14190,15483,15866,16014,16045,15770,15771,15507,15245,15111,15137,14686,14652,15210,14677,13571,12546
31,3,2015,11545,11003,10771,10678,10731,11171,12631,14336,15537,16074,16174,16100,15803,15717,15412,15150,15155,15397,14909,14862,15099,14664,13580,12571
1,4,2015,11464,10829,10529,10463,10541,11004,12399,14230,15517,16036,16099,16101,15852,15848,15728,15473,15331,15422,14871,14797,15106,14620,13496,12522
2,4,2015,11595,11002,10665,10519,10544,11034,12496,14340,15551,15892,15820,15779,15455,15402,15280,15264,15310,15461,15077,14947,15269,14779,13706,12719
3,4,2015,11735,11090,10765,10608,10703,11096,12284,13686,15045,15613,15711,15657,15347,15239,15036,14718,14676,14884,14486,14142,14337,14006,13125,12404
4,4,2015,11519,10872,10505,10296,10260,10385,10896,11586,12651,13725,14020,13967,13618,13160,12850,12698,12858,13259,13301,13170,13443,13289,12581,11845
5,4,2015,11065,10468,10115,9891,9881,9941,10108,10368,11003,11395,11564,11474,11408,11202,10978,10838,10964,11692,12182,12178,12633,12772,12276,11491
6,4,2015,10734,10204,9899,9752,9785,9948,10318,10696,11549,12455,12982,13090,13035,12715,12413,12197,12201,12716,12818,12761,13188,13260,12548,11630
7,4,2015,10849,10382,10249,10185,10305,10784,12245,14028,15339,15877,15911,15907,15620,15561,15360,15162,15122,15209,14807,14626,14867,14600,13497,12478
8,4,2015,11540,10997,10730,10652,10683,11067,12364,14216,15591,16124,16162,15993,15626,15449,15216,14990,14969,15156,14594,14362,14452,14399,13412,12490
9,4,2015,11500,10903,10630,10531,10588,11017,12284,13980,15139,15476,15321,15177,14929,14961,14818,14669,14729,14922,14568,14361,14497,14401,13396,12415
10,4,2015,11464,10892,10643,10499,10552,10955,12135,13851,15091,15390,15274,15189,14911,14796,14548,14316,14284,14480,14061,13759,13905,13806,12937,12166
11,4,2015,11267,10611,10239,10012,9950,10040,10439,11070,12049,12895,13452,13760,13671,13322,13096,13124,13192,13266,13079,12805,12902,12932,12395,11639
12,4,2015,10808,10186,9892,9726,9689,9710,9902,10120,10754,11282,11635,11688,11743,11520,11222,11007,11191,11928,12384,12442,12783,12854,12208,11317
13,4,2015,10546,10022,9867,9868,9990,10494,11838,13574,14805,15212,15147,15175,15012,15038,14829,14627,14624,14704,14165,13948,14029,14176,13200,12189
14,4,2015,11197,10606,10348,10223,10278,10723,11915,13721,14824,15222,15166,14987,14677,14727,14616,14512,14574,14730,14252,13984,13970,14150,13235,12233
15,4,2015,11268,10621,10351,10239,10281,10703,11898,13508,14717,15077,15092,14992,14816,14829,14706,14598,14565,14711,14169,13888,13907,14122,13237,12268
16,4,2015,11331,10731,10454,10359,10379,10728,11905,13613,14769,15245,15204,15108,14876,14867,14755,14642,14769,14864,14470,14251,14265,14290,13261,12316
17,4,2015,11345,10763,10509,10402,10416,10815,11939,13618,14931,15428,15473,15491,15243,15081,14831,14596,14513,14585,14130,13823,13718,13827,13002,12210
18,4,2015,11344,10691,10294,10126,10019,10142,10472,11127,11968,12644,12831,12732,12556,12292,12022,11826,11899,12332,12479,12422,12457,12722,12232,11521
19,4,2015,10799,10281,10006,9871,9817,9858,9871,10108,10804,11390,11743,11932,11949,11673,11361,11161,11221,11879,12277,12317,12439,12851,12282,11399
20,4,2015,10651,10174,10028,9959,10074,10576,11778,13581,14722,15053,14985,14958,14802,14820,14678,14606,14643,14760,14224,13978,13856,14169,13293,12349
21,4,2015,11407,10791,10519,10430,10458,10896,11905,13688,14820,15183,15160,15081,14807,14793,14697,14612,14660,14822,14160,13904,13916,14261,13429,12464
22,4,2015,11512,10873,10617,10498,10535,10930,11972,13756,15038,15668,15823,15792,15560,15536,15338,15106,15062,15273,14654,14360,14205,14371,13504,12531
23,4,2015,11560,10919,10638,10519,10481,10906,12089,13803,15086,15551,15648,15491,15179,15032,14833,14716,14718,14792,14392,14195,14087,14340,13519,12541
24,4,2015,11599,10982,10681,10544,10589,10928,11971,13729,14841,15175,15241,15263,15068,14980,14818,14628,14573,14624,14246,13948,13686,13782,13059,12351
25,4,2015,11472,10779,10320,10180,10125,10232,10507,11189,12199,13170,13518,13651,13600,13302,13084,13090,13033,13188,13046,12764,12529,12808,12357,11657
26,4,2015,10921,10325,9989,9854,9752,9776,9727,10061,10820,11512,12076,12451,12605,12448,12237,12114,12180,12592,12726,12539,12427,12590,12159,11378
27,4,2015,10680,10166,9901,9798,9819,9985,10161,10709,11349,11854,12000,11917,11821,11512,11256,11155,11344,11970,12155,12167,12190,12719,12396,11604
28,4,2015,10881,10355,10148,10128,10213,10646,11692,13407,14647,15196,15363,15497,15390,15333,15095,14964,14892,14929,14325,14137,13876,14162,13496,12548
29,4,2015,11586,10981,10680,10560,10607,11020,11937,13607,14845,15294,15347,15317,15258,15287,15254,15285,15298,15404,14676,14407,14265,14281,13410,12535
